name,status,start,end,rows,error
Alex Trebek,ok,2020-08-10,2021-11-08,456,
Chuck Yeager,ok,2020-09-08,2021-12-07,456,
Charley Pride,ok,2020-09-13,2021-12-12,456,
Dawn Wells,ok,2020-10-01,2021-12-30,456,
Tanya Roberts,ok,2020-10-06,2022-01-04,456,
Hank Aaron,ok,2020-10-24,2022-01-22,456,
Larry King,ok,2020-10-25,2022-01-23,456,
Cloris Leachman,ok,2020-10-29,2022-01-27,456,
Cicely Tyson,ok,2020-10-30,2022-01-28,456,
Christopher Plummer,ok,2020-11-07,2022-02-05,456,
Jessica Walter,ok,2020-12-24,2022-03-24,456,
Prince Philip,ok,2021-01-09,2022-04-09,456,
DMX,ok,2021-01-09,2022-04-09,456,
Michael Collins,ok,2021-01-28,2022-04-28,456,
Olympia Dukakis,ok,2021-01-31,2022-05-01,456,
Ned Beatty,ok,2021-03-15,2022-06-13,456,
Charlie Watts,ok,2021-05-26,2022-08-24,456,
Ed Asner,ok,2021-05-31,2022-08-29,456,
Michael K. Williams,ok,2021-06-08,2022-09-06,456,
Norm Macdonald,ok,2021-06-16,2022-09-14,456,
Willie Garson,ok,2021-06-23,2022-09-21,456,
Colin Powell,ok,2021-07-20,2022-10-18,456,
Stephen Sondheim,ok,2021-08-28,2022-11-26,456,
Bob Dole,ok,2021-09-06,2022-12-05,456,
Anne Rice,ok,2021-09-12,2022-12-11,456,
bell hooks,ok,2021-09-16,2022-12-15,456,
Joan Didion,ok,2021-09-24,2022-12-23,456,
Desmond Tutu,ok,2021-09-27,2022-12-26,456,
John Madden,ok,2021-09-29,2022-12-28,456,
Betty White,ok,2021-10-02,2022-12-31,456,
Sidney Poitier,ok,2021-10-08,2023-01-06,456,
Bob Saget,ok,2021-10-11,2023-01-09,456,
Meat Loaf,ok,2021-10-22,2023-01-20,456,
Louie Anderson,ok,2021-10-23,2023-01-21,456,
Ivan Reitman,ok,2021-11-14,2023-02-12,456,
Mark Lanegan,ok,2021-11-24,2023-02-22,456,
Madeleine Albright,ok,2021-12-23,2023-03-23,456,
Taylor Hawkins,ok,2021-12-25,2023-03-25,456,
Estelle Harris,ok,2022-01-02,2023-04-02,456,
Naomi Judd,ok,2022-01-30,2023-04-30,456,
Andy Fletcher,ok,2022-02-25,2023-05-26,456,
Ray Liotta,ok,2022-02-25,2023-05-26,456,
James Caan,ok,2022-04-07,2023-07-06,456,
Ivana Trump,ok,2022-04-15,2023-07-14,456,
Tony Dow,ok,2022-04-28,2023-07-27,456,
Nichelle Nichols,ok,2022-05-01,2023-07-30,456,
Bill Russell,ok,2022-05-02,2023-07-31,456,
Olivia Newton-John,ok,2022-05-10,2023-08-08,456,
Anne Heche,ok,2022-05-13,2023-08-11,456,
Mikhail Gorbachev,ok,2022-06-01,2023-08-30,456,
Queen Elizabeth II,ok,2022-06-10,2023-09-08,456,
Coolio,ok,2022-06-30,2023-09-28,456,
Loretta Lynn,ok,2022-07-06,2023-10-04,456,
Angela Lansbury,ok,2022-07-13,2023-10-11,456,
Robbie Coltrane,ok,2022-07-16,2023-10-14,456,
Jerry Lee Lewis,ok,2022-07-30,2023-10-28,456,
Aaron Carter,ok,2022-08-07,2023-11-05,456,
Christine McVie,ok,2022-09-01,2023-11-30,456,
Kirstie Alley,ok,2022-09-06,2023-12-05,456,
Pelé,ok,2022-09-30,2023-12-29,456,
Vivienne Westwood,ok,2022-09-30,2023-12-29,456,
Barbara Walters,ok,2022-10-01,2023-12-30,456,
Lisa Marie Presley,ok,2022-10-14,2024-01-12,456,
Gina Lollobrigida,ok,2022-10-18,2024-01-16,456,
David Crosby,ok,2022-10-20,2024-01-18,456,
Cindy Williams,ok,2022-10-27,2024-01-25,456,
Burt Bacharach,ok,2022-11-10,2024-02-08,456,
Raquel Welch,ok,2022-11-17,2024-02-15,456,
Tom Sizemore,ok,2022-12-03,2024-03-02,456,
Lance Reddick,ok,2022-12-17,2024-03-16,456,
Mary Quant,ok,2023-01-13,2024-04-12,456,
Harry Belafonte,ok,2023-01-25,2024-04-24,456,
Jerry Springer,ok,2023-01-27,2024-04-26,456,
Tina Turner,ok,2023-02-23,2024-05-23,456,
Treat Williams,ok,2023-03-14,2024-06-11,456,
Cormac McCarthy,ok,2023-03-15,2024-06-12,456,
Alan Arkin,ok,2023-03-31,2024-06-28,456,
Tony Bennett,ok,2023-04-22,2024-07-20,456,
Sinéad O'Connor,ok,2023-04-27,2024-07-25,456,
Paul Reubens,ok,2023-05-01,2024-07-29,456,
Angus Cloud,ok,2023-05-02,2024-07-30,456,
Robbie Robertson,ok,2023-05-11,2024-08-08,456,
Bob Barker,ok,2023-05-28,2024-08-25,456,
Jimmy Buffett,ok,2023-06-03,2024-08-31,456,
Steve Harwell,ok,2023-06-06,2024-09-03,456,
Piper Laurie,ok,2023-07-16,2024-10-13,456,
Suzanne Somers,ok,2023-07-17,2024-10-14,456,
Matthew Perry,ok,2023-07-30,2024-10-27,456,
Henry Kissinger,ok,2023-08-31,2024-11-28,456,
Sandra Day O'Connor,ok,2023-09-02,2024-11-30,456,
Norman Lear,ok,2023-09-06,2024-12-04,456,
Ryan O'Neal,ok,2023-09-09,2024-12-07,456,
Andre Braugher,ok,2023-09-12,2024-12-10,456,
Glynis Johns,ok,2023-10-06,2025-01-03,456,
David Soul,ok,2023-10-06,2025-01-03,456,
Joyce Randolph,ok,2023-10-15,2025-01-12,456,
Norman Jewison,ok,2023-10-22,2025-01-19,456,
Carl Weathers,ok,2023-11-03,2025-01-31,456,
Toby Keith,ok,2023-11-07,2025-02-04,456,
Richard Lewis,ok,2023-11-29,2025-02-26,456,
Akira Toriyama,ok,2023-12-09,2025-03-08,456,
Steve Lawrence,ok,2023-12-08,2025-03-07,456,
M. Emmet Walsh,ok,2023-12-20,2025-03-19,456,
Louis Gossett Jr.,ok,2023-12-30,2025-03-29,456,
O. J. Simpson,ok,2024-01-11,2025-04-10,456,
Roberto Cavalli,ok,2024-01-13,2025-04-12,456,
Bernard Hill,ok,2024-02-05,2025-05-05,456,
Roger Corman,ok,2024-02-09,2025-05-09,456,
Dabney Coleman,ok,2024-02-16,2025-05-16,456,
Bill Walton,ok,2024-02-27,2025-05-27,456,
Donald Sutherland,ok,2024-03-22,2025-06-20,456,
Martin Mull,ok,2024-03-29,2025-06-27,456,
Robert Towne,ok,2024-04-02,2025-07-01,456,
Shelley Duvall,ok,2024-04-12,2025-07-11,456,
Shannen Doherty,ok,2024-04-14,2025-07-13,456,
Bob Newhart,ok,2024-04-19,2025-07-18,456,
John Mayall,ok,2024-04-23,2025-07-22,456,
Erica Ash,ok,2024-04-29,2025-07-28,456,
Gena Rowlands,ok,2024-05-16,2025-08-14,456,
Phil Donahue,ok,2024-05-20,2025-08-18,456,
Alain Delon,ok,2024-05-20,2025-08-18,456,
James Earl Jones,ok,2024-06-11,2025-09-09,456,
Maggie Smith,ok,2024-06-29,2025-09-27,456,
Kris Kristofferson,ok,2024-06-30,2025-09-28,456,
Pete Rose,ok,2024-07-02,2025-09-30,456,
Ethel Kennedy,ok,2024-07-12,2025-10-10,456,
Liam Payne,ok,2024-07-18,2025-10-16,456,
Phil Lesh,ok,2024-07-27,2025-10-25,456,
Teri Garr,ok,2024-07-31,2025-10-29,456,
Quincy Jones,ok,2024-08-05,2025-11-03,456,
Olivia Hussey,ok,2024-09-28,2025-12-27,456,
Linda Lavin,ok,2024-09-30,2025-12-29,456,
Jimmy Carter,ok,2024-09-30,2025-12-29,456,
David Lynch,ok,2024-10-18,2026-01-16,456,
Cecile Richards,ok,2024-10-22,2026-01-20,456,
Marianne Faithfull,ok,2024-11-01,2026-01-30,456,
Roberta Flack,ok,2024-11-26,2026-02-24,456,
Gene Hackman,ok,2024-11-28,2026-02-26,456,
Michelle Trachtenberg,ok,2024-11-28,2026-02-26,456,
Boris Spassky,ok,2024-11-29,2026-02-27,456,
George Foreman,ok,2024-12-21,2026-03-21,456,
Richard Chamberlain,ok,2024-12-29,2026-03-29,456,
Val Kilmer,ok,2025-01-01,2026-04-01,456,
Mario Vargas Llosa,ok,2025-01-13,2026-04-13,456,
Pope Francis,ok,2025-01-21,2026-04-21,456,
Ruth Buzzi,ok,2025-01-31,2026-05-01,456,
Joe Don Baker,ok,2025-02-06,2026-05-07,456,
David Souter,ok,2025-02-07,2026-05-08,456,
Sly Stone,ok,2025-03-11,2026-05-09,425,
Brian Wilson,ok,2025-03-13,2026-05-09,423,
Connie Francis,ok,2025-04-18,2026-05-09,387,
Ozzy Osbourne,ok,2025-04-23,2026-05-09,382,
Hulk Hogan,ok,2025-04-25,2026-05-09,380,
Jane Goodall,ok,2025-07-03,2026-05-09,311,
Diane Keaton,ok,2025-07-13,2026-05-09,301,
D'Angelo,ok,2025-07-16,2026-05-09,298,
Dick Cheney,ok,2025-08-05,2026-05-09,278,
Diane Ladd,ok,2025-08-05,2026-05-09,278,
Rob Reiner,ok,2025-09-15,2026-05-09,237,
