qid,gender,citizenship,occupation,cause_of_death
Q31442,male,Italy|Argentina,association football player,aircraft crash
Q319137,male,United States,entrepreneur,non-Hodgkin lymphoma
Q333066,male,United Kingdom,diplomat|politician,bladder cancer
Q333187,male,Czech Republic|Czechoslovakia,painter|singer|composer|actor,acute myeloid leukemia
Q318188,male,United Kingdom|United Kingdom of Great Britain and Ireland,literary critic|playwright|dramaturge|screenwriter|writer,
Q318292,male,United States,producer|television actor|film screenwriter|film actor|film producer|film director|director|screenwriter|military officer|military personnel|actor|writer,
Q318334,male,Kingdom of the Netherlands,peace activist|diplomat|university teacher|politician|lawyer,
Q318513,male,United States,military flight engineer|aircraft pilot|military officer|astronaut,
Q318619,male,United States,recording artist|jazz musician|bandleader|conductor|pianist|musician|composer,
Q318636,male,United Kingdom|United Kingdom of Great Britain and Ireland,violinist|musician|conductor|composer,
Q318814,male,Russia|Soviet Union,astronomer|astrophysicist,
Q318923,male,Latvia|Soviet Union,javelin thrower,
Q318960,male,Kenya,paleoanthropologist|autobiographer|conservationist|anthropologist|environmentalist|paleontologist|university teacher|politician,
Q319277,male,United States,pop singer|guitarist|lyricist|singer-songwriter|composer,
Q319794,male,Norway,biathlete|color commentator,
Q320726,male,United Kingdom,guitarist|lyricist|songwriter|musician|singer,
Q321365,male,France|Georgia|Soviet Union,film editor|director|film director|filmmaker|documentary filmmaker|pedagogue|pianist|conductor|composer|actor|screenwriter,
Q323218,male,Haiti,politician|judge,
Q323292,male,Poland,politician,
Q324108,male,Mali,politician,
Q324302,male,United States,film actor|television actor|actor,
Q324944,male,France,audiobook narrator|literary theorist|essayist|novelist|philosopher|literary critic|director|publisher|sex symbol|writer|screenwriter,
Q325471,male,Morocco,association football player|association football coach,
Q325710,male,United States,bodyguard|intelligence agent,
Q325802,male,Paraguay,association football player|association football coach,
Q325975,male,Uruguay,association football player|association football coach,
Q326823,male,Hungary,essayist|sociologist|journalist|writer,
Q326830,male,Norway|Germany,sociologist|university teacher|political scientist|mathematician|writer,
