qid,gender,citizenship,occupation,cause_of_death
Q65023,female,Germany,film actor|model,breast cancer
Q6538,male,Germany|Free City of Danzig,essayist|printmaker|autobiographer|librettist|novelist|graphic artist|sculptor|painter|illustrator|lyricist|altar server|playwright|poet|photographer|screenwriter,infection
Q62252,male,Italy,association football player,amyotrophic lateral sclerosis
Q66408,female,Germany,autobiographer|film actor|television actor|model|stage actor|ballet dancer|child actor|entrepreneur|writer|actor,leukemia
Q62177,male,Germany|West Germany,show jumper|Olympic competitor|athlete,cardiac arrest
Q6626615,male,Palestine,military leader,airstrike
Q63219332,female,United Kingdom,essayist|journalist|writer,gunshot wound
Q66742521,male,Colombia,politician|lawyer,gunshot wound
Q64825271,male,United States,online streamer|YouTuber|Internet celebrity,drowning
Q65321,male,Germany,film screenwriter|director|film producer|film director|screenwriter,pancreatic cancer
Q6166387,male,United States,video game actor|linguist|television actor|film actor|stage actor|voice actor|translator|actor,COVID-19
Q6550228,female,Botswana,banker|economist,COVID-19
Q6557799,female,United States,film actor|stage actor|television actor|voice actor,traumatic brain injury
Q60108,male,United States|Germany|Nazi Germany,cell biologist|biochemist|biologist|university teacher|physician,prostate cancer
Q606557,male,United States|Germany,children's writer|illustrator|graphic designer|writer,kidney failure
Q606577,male,Indonesia,television actor|comedian|singer,meningitis
Q639345,male,United States,saxophonist|jazz musician|bandleader|conductor|clarinetist|composer,pulmonary emphysema
Q664862,female,United States,singer,pulmonary emphysema
Q67207065,male,Russia|Soviet Union,activist|ethnographer|philosopher|sociologist|university teacher,self-immolation
Q656456,male,Germany|German Democratic Republic,biathlon coach|biathlete,colorectal cancer
Q653918,male,United States,television actor|film actor|radio personality|voice actor|actor,liver cirrhosis
Q6631231,male,Thailand,polo player|businessperson|entrepreneur,helicopter crash
Q62714398,male,Russia,military personnel,missile strike
Q608170,female,Mexico,model|actor,liver cancer
Q66088,male,Germany,missionary|writer,surgical complications
Q631125,male,United Kingdom,association football player,cranial trauma
Q6036905,male,India,politician,surgical complications
Q652295,male,United States,jazz musician|singer|writer|actor,respiratory failure
Q669049,male,Japan|Empire of Japan,comics creator|lyricist|mangaka|writer,multiple organ dysfunction syndrome
Q6095720,male,India|British Raj|Dominion of India,politician|lawyer,multiple organ dysfunction syndrome
Q599657,male,United States,film producer|film director|screenwriter,mesothelioma
Q611481,male,United States,middle-distance runner,amyloidosis
Q606354,male,Hungary,artistic gymnast,COVID-19
Q607219,male,Italy,trade unionist|politician,COVID-19
Q61677,male,Germany,video game actor|film actor|television actor|model|film producer|voice actor,aviation accident
Q600393,male,United States,research assistant|politician|lawyer|judge,prostate cancer
Q66774,male,Germany,film actor|director|film producer|film director|cinematographer|actor|screenwriter,heart failure
Q611672,male,United States,essayist|novelist|opinion journalist|author|historian|businessperson|writer|screenwriter,heart failure
Q65600671,male,United States,model|actor,drug overdose
Q651376,male,Austria,university teacher|photojournalist|painter|professor|composer|writer|photographer|actor|collagist|experimental artist|installation artist|draftsperson|theatre designer|performance artist|artist|docent|visual artist|graphic artist,
Q651895,male,Georgia|Soviet Union,film producer|pedagogue|film director|drama teacher|filmmaker|politician|screenwriter,
Q653162,male,Tunisia,politician,
Q654082,male,Jordan|Palestine|Mandatory Palestine,poet,
Q654433,male,Namibia,diplomat|minister|politician,
Q656511,male,United States,geopolitical analyst|military officer|politician,
Q657942,male,Germany,association football player|association football coach,
Q658380,male,Kingdom of the Netherlands,track cyclist|sport cyclist,
Q659265,male,United States,geneticist|university teacher|biologist|mathematician,
Q661008,male,United States,prosecutor|politician|lawyer,
Q662366,male,Belgium|France,director|film director|writer,
Q665962,male,Brazil,Catholic deacon|Catholic bishop|Catholic priest|archbishop|priest|writer,
Q667671,male,Switzerland,lithographer|printmaker|postage stamp designer|graphic artist|sculptor|painter|illustrator|graphic designer|engraver,
Q668759,male,Spain|Mexico,film actor|television actor|stage actor|voice actor|actor,
Q669908,male,United Kingdom,philologist|musicologist|classical philologist|university teacher|translator,
Q669956,male,Italy,essayist|publisher|university teacher|editor|writer,
Q671147,male,Venezuela,activist|harpsichordist|university teacher|organist|economist|pianist|conductor|politician|composer,
Q6075068,male,United States,film actor|television actor|voice actor|actor,
Q6087410,female,Turkey,violinist,
Q6122272,male,India,film director|actor,
Q65619,female,Austria|Germany,journalist|biographer|historian|writer,
Q66107,male,United States|German Reich,autobiographer|war criminal|foreign minister|political scientist|pedagogue|diplomat|entrepreneur|politician|businessperson|writer,
Q66375,male,United States|Germany,non-fiction writer|university teacher|historian,
Q66632,male,Germany,university teacher|politician|writer,
Q67117,female,Germany,film actor|stage actor|actor,
Q599556,male,France,director|film director|poet|screenwriter,
Q601307,male,South Africa,novelist|film actor|theatre director|film director|journalist|stage actor|university teacher|playwright|writer|actor|screenwriter,
Q602665,male,Italy,association football player,
Q603390,male,Italy,journalist|university teacher|economist|diplomat|politician,
Q603669,male,France,association football player|association football coach,
Q604485,male,United Kingdom,film actor|television actor|stage actor|voice actor,
Q605194,male,Chile,philosopher|director|film director|diplomat|writer|screenwriter,
Q605924,male,United States,producer|director|theatre director|film director|theatrical producer|music director|entrepreneur,
Q607455,male,Italy,sport cyclist,
Q608358,male,Kenya,sprinter,
Q609391,male,Estonia|Soviet Union,sportsperson|speed skater,
Q610137,male,Hungary,water polo coach|water polo player|informant,
Q611767,male,Turkey,military commander,
Q614494,male,Russia,film actor|stage actor|actor,
Q616330,male,Poland,Olympic competitor|fencer|university teacher|architect,
Q617528,male,Brazil,association football player|association football coach,
Q617562,male,Croatia|Socialist Federal Republic of Yugoslavia|Kingdom of Yugoslavia,slavist|playwright|writer|screenwriter,
Q6136588,male,Brazil,association football player|association football coach,
Q6140482,male,Brazil,association football player|association football coach,
Q6148297,female,India,politician|actor,
Q6180563,female,United States,,
Q6209810,male,Sweden,dub actor|film actor|film director,
Q6299612,male,Spain,television actor|stage actor|film actor|political activist|actor,
Q6303462,female,United States,disability rights activist|civil servant,
Q6307262,male,United Kingdom,film actor|television actor|actor,
Q6312230,female,United Kingdom,film actor|actor,
Q6480386,female,India,painter|printer,
Q60026,male,Switzerland,theologian|university teacher|Catholic bishop|friar|Catholic priest,
Q60278,male,Germany|West Germany,theologian|university teacher,
Q60302,male,Germany,calligrapher|postage stamp designer|typographer|painter|university teacher|bookbinder|graphic designer|type designer|teacher|photographer|writer,
Q60412,male,Germany,philosopher|sociologist|university teacher,
Q60435,male,Germany,association football player,
Q60652,male,Romania,kayaker|canoeist,
Q60669,male,Germany,director|film director|cinematographer|screenwriter,
Q60764,male,Germany,discoverer of asteroids|astronomer,
Q60806,,,entertainer,
Q60820,male,Germany,opinion journalist|literary editor|playwright|writer|screenwriter,
Q61130,male,Germany,industrial designer|designer|university teacher|architect|engineer,
Q61128,male,Germany,documentarian|film screenwriter|film director|film producer|musician|television producer|screenwriter,
Q61159,male,Germany,Catholic theologian|Catholic bishop|Catholic priest,
Q61247,male,Germany,archaeologist|university teacher|Egyptologist,
Q61405,male,Germany,aircraft pilot|military personnel,
Q61410,male,Germany,opera singer,
Q61493,male,Germany,athletics competitor,
Q61505,female,Germany|German Democratic Republic,athletics competitor,
Q61624,female,Germany,alpine skier,
Q61880,male,Germany|Czechoslovakia,chess player,
Q61888,male,Germany,historian of religion|classical philologist|linguist|university teacher,
Q61901,male,Germany,theologian|university teacher|Latin Catholic priest,
Q61907,male,Germany,Catholic theologian|theologian|church musician|Catholic priest|musician|conductor|composer,
Q65515,female,Germany,politician|poet|writer|author,
Q64129,male,Qatar|Kingdom of Egypt|Republic of Egypt|United Arab Republic|Egypt,muhaddith|Islamic jurist|preacher|ulema|jurist|poet|writer|Islamic theologian,
Q64176,male,Germany,university teacher|jurist|politician,
Q64188,male,United States,university teacher|physicist,
Q64414,male,Germany,director|opera singer|university teacher|composer,
Q64412,male,Germany,civil engineer|university teacher|architect|writer,
Q64539,male,Germany,fashion photographer|film director|photographer,
Q64577,male,Germany|Nazi Germany|West Germany,novelist|film actor|film producer|biographer|writer|screenwriter|actor,
Q64915,male,Germany|German Democratic Republic|German Reich,resistance fighter|politician|military personnel,
Q64950,female,Germany,alpine skier,
Q65108,male,Germany,non-fiction writer|historian of Modern Age|secondary school teacher|philosopher|university teacher|pedagogue|historian|politician|scientist,
Q65196,male,Russia|Germany|Soviet Union,university teacher|physicist|mathematician,
Q61977,male,United States|Germany,songwriter|musician|conductor|composer,
Q62255,male,Italy|Kingdom of Italy,association football coach|association football player,
Q62309,male,Germany,philosopher|sociologist|university teacher,
Q62385,male,Germany,businessperson,
Q62437,male,Italy|Germany,manufacturer|talent manager|lyricist|singer-songwriter|singer|record producer|composer,
Q62539,female,Germany|Nazi Germany|Weimar Republic,activist|tailor|politician|secretary,
Q62547,male,Germany,film director|cinematographer|photographer,
Q62789,male,Germany,university teacher|urban planner|architect,
Q62889,male,Germany,university teacher|economist|politician,
Q63069,male,Germany,film director|director|film producer|cinematographer|screenwriter,
Q63303,male,Germany|German Democratic Republic,non-fiction writer|chess player,
Q63328,male,Germany,association football coach|association football player,
Q63338,male,Germany,philosopher|university teacher|writer,
Q63670,male,United States|Germany,autobiographer|cultural historian|university teacher|psychologist|historian|writer,
Q63920,male,Germany,American football player|association football player,
Q63997,male,United Kingdom|Germany|United Kingdom of Great Britain and Ireland,scenographer|production designer,
Q64043,male,Germany|German Democratic Republic,politician|writer|screenwriter,
Q620823,male,United States|Soviet Union,human rights defender|mathematician|poet|writer,
Q622814,male,United States|Russia|Soviet Union,draftsperson|graphic artist|sculptor,
Q628346,male,Kingdom of the Netherlands,collagist|draftsperson|designer|muralist|graphic artist|children's writer|visual artist|postage stamp designer|illustrator|graphic designer|animator|writer,
Q629960,male,Ukraine|Soviet Union,association football player|association football coach,
Q634725,male,Germany|German Democratic Republic,association football player,
Q636593,male,Japan|Empire of Japan,tarento|musical theatre actor|stage actor|conferencier|seiyū|teacher|actor,
Q636733,male,Lithuania|France,film actor|television actor|television presenter|actor|screenwriter,
Q641805,male,Kuwait,statesperson|military officer|politician|monarch,
Q642662,female,Italy,film actor,
Q644212,female,New Zealand,activist|university teacher|politician,
Q644837,male,United States,military flight engineer|military officer|engineer|astronaut,
Q645649,male,Hungary,association football player|association football coach,
Q646182,male,Somalia,minister|politician,
Q648270,male,Germany|German Democratic Republic,association football player,
Q649487,male,France,poet|writer,
Q69349,male,Germany,opinion journalist|manager|university teacher|television presenter|politician,Alzheimer's disease
Q684014,male,United States,philanthropist|businessperson|lawyer,Alzheimer's disease
Q687049,female,United States,television actor|film actor|model|stage actor,Alzheimer's disease
Q695762,male,Austria,alpine skier,multiple sclerosis
Q702625,male,France,French resistance fighter|war photographer|journalist|photojournalist|reporter|photographer,Alzheimer's disease
Q714191,male,United States,basketball player,cancer
Q6780492,female,United States,film actor|television actor|screenwriter|actor,cancer
Q704955,male,United States,drummer,cancer
Q708153,male,United States,film actor|television actor|film producer|university teacher|actor,Alzheimer's disease
Q708622,male,Canada,opera singer,Alzheimer's disease
Q70172,female,Germany,racing automobile driver|television presenter,cancer
Q698080,male,Kingdom of Denmark,autobiographer|journalist|diplomat|politician,cancer
Q703321,male,Canada,politician|engineer|astronaut,cancer
Q71127,male,United States,basketball player,Parkinson's disease
Q701284,male,Austria,foreign minister|diplomat|jurist|politician,Parkinson's disease
Q704688,male,Spain,association football player|association football coach,Parkinson's disease
Q70556,male,Germany|German Democratic Republic,athletics competitor,myocardial infarction
Q680368,male,United States,translator|poet|writer,myocardial infarction
Q697188,male,Italy|Kingdom of Italy,television actor|dub actor|film actor|television presenter|film director|stage actor|singer-songwriter|comedian|screenwriter,myocardial infarction
Q704154,male,United States,music educator|horn player|musicologist|jazz musician|university teacher|conductor|composer,leukemia
Q690304,male,Mexico,linguist|novelist|translator|diplomat|politician|writer,stroke|acute aphasia
Q703849,male,United States,psychotherapist|psychologist,stroke
Q705709,male,Belgium,sport cyclist,stroke
Q70532,male,United States|Germany,university teacher|physicist,disease
Q695094,male,Austria,association football player|association football coach,disease
Q699145,male,India|Dominion of India|British Raj,urban planner|architect,disease
Q702324,male,Germany|German Democratic Republic,association football player|association football coach,disease
Q708256,male,United Kingdom,film actor|television actor|theatre director|stage actor|actor|screenwriter,disease
Q708350,male,Italy|Kingdom of Italy,film actor|stage actor|film producer|actor|screenwriter,disease
Q712028,male,United States,Catholic bishop|Catholic priest,disease
Q712208,male,Australia,tennis player,disease
Q69562,male,Germany,professional photographer|video artist|conceptual artist|performance artist|director|university teacher|photojournalist|pedagogue|artist|photographer|actor|screenwriter,lymphoma
Q711197,male,United States,guitarist|musician|songwriter|singer,stroke
Q702326,male,People's Republic of China|British Hong Kong,film director|film producer|screenwriter,nasopharynx carcinoma
Q703668,male,United States,professional wrestler|softball player|actor,non-Hodgkin lymphoma
Q680258,male,Germany,association football player,liver cirrhosis
Q701515,male,Soviet Union|Kazakhstan,economist|diplomat|businessperson|politician,hanging to death
Q68050,male,Italy,association football player|politician,heart failure
Q703611,male,United States|Yugoslavia,production manager|film screenwriter|television actor|film actor|assistant director|film producer|production designer|film director|television producer|actor,heart failure
Q705958,male,Japan|United States|North Korea,soldier|actor,heart failure
Q707734,male,United Kingdom,film actor|television actor|actor,heart failure
Q6917853,male,Pakistan|Bangladesh|British Raj,politician,hanging to death
Q708118,male,Portugal,association football player,heart disease
Q696666,female,Taiwan|Republic of China,novelist|television producer|lyricist|songwriter|writer|screenwriter,charcoal-burning suicide
Q706417,male,United States,songwriter|musician|singer,cardiac arrest
Q710128,male,United States,surfer|television actor|aircraft pilot|film actor|film producer|actor,cardiac arrest
Q712045,male,United States,theologian|Catholic priest|Catholic bishop,cardiac arrest
Q702306,male,United States,competitive diver|combat medic|military officer|physician,pneumonia
Q679049,male,Italy,university teacher|editor-in-chief|architect,COVID-19
Q679377,male,Switzerland,bobsledder|athletics competitor,COVID-19
Q693875,male,United States,athletics competitor,COVID-19
Q699412,male,Austria|Croatia|Yugoslavia,association football player|association football national coach|association football coach,COVID-19
Q711538,male,Spain,journalist|psychiatrist|physician|writer,pancreatic cancer
Q715787,male,United States,lobbyist|political scientist|politician|businessperson,pancreatic cancer
Q709859,male,Turkey,recording artist|television actor|film actor|film director|lyricist|songwriter|singer|composer|actor|screenwriter,kidney failure|liver disease
Q715175,female,Canada,recording artist|model|film actor|singer|actor,kidney failure
Q7153247,male,United Kingdom,film actor|television actor|stage actor|actor,brain tumor
Q715571,male,United States,baseball player,drowning|aircraft crash
Q684370,male,United States,television actor|film actor|stage actor|playwright|actor,cardiac arrest
Q694081,male,Belgium,harmonicist|film actor|singer|composer,pancreatic cancer
Q696055,male,Italy|Kingdom of Italy,television actor|film actor|theatre director|stage actor,kidney failure
Q706518,male,United States,recording artist|autobiographer|film actor|songwriter|singer,lung cancer
Q707607,male,Brazil,jazz musician|percussionist|film score composer|songwriter|singer-songwriter|musician|singer|composer|actor,lung cancer
Q707647,male,United States,professional wrestler|manager,lung cancer
Q6956742,female,India|British Raj|Dominion of India,academic|poet|writer,lung cancer
Q707229,male,People's Republic of China|British Hong Kong,film actor|television actor|comedian|actor,liver cancer
Q706616,male,Italy,Formula One driver|racing automobile driver|motorcycle racer|engineer,myocardial infarction
Q715893,male,Montenegro,economist|political commissar|politician,myocardial infarction
Q715725,male,Japan,comics creator|illustrator|comics artist|mangaka,aortic dissection
Q6807571,female,United States|India,novelist|university teacher|poet|writer,endometrial cancer
Q712058,male,Cameroon,theologian|Catholic priest|Catholic bishop,COVID-19
Q715633,male,Ukraine|Soviet Union,politician,COVID-19
Q6833839,male,Ireland|United Kingdom,entrepreneur|businessperson,suffocation
Q6880732,male,Jordan,political activist|journalist|writer,assassination
Q70593695,female,Syria,dynamics / stress engineer|human rights defender|politician,assassination
Q712180,male,United States,television actor|blacksmith|bodyguard|comedian|actor,kidney disease
Q6812738,female,United States,politician|lawyer,gunshot wound
Q703464,male,Belgium,sport cyclist|sporting director,
Q703572,male,Ecuador,Catholic bishop|Catholic priest,
Q703999,male,Poland|Ukraine,philosopher|Catholic bishop|Catholic priest,
Q704175,male,Russia|Ukraine|Soviet Union,classical pianist|composer,
Q704516,male,Poland,science fiction writer|journalist|film director|dramaturge|writer|screenwriter,
Q704563,male,Soviet Union,athletics competitor,
Q704576,male,Spain,director|film producer|film director|screenwriter,
Q705225,male,France,conceptual artist|new media artist|multimedia artist|visual artist|filmmaker|sculptor|painter|illustrator|artist|photographer,
Q705314,male,Georgia|Soviet Union,athletics competitor|athlete,
Q706078,male,France,director of studies|anthropologist|university teacher|ethnologist,
Q706256,male,Finland,javelin thrower|athletics competitor,
Q706658,male,Norway,young adult author|children's writer|novelist|playwright|writer,
Q706668,male,United Kingdom|Union of South Africa,novelist|stage actor|film producer|playwright|writer|screenwriter,
Q706995,male,Russia|Soviet Union,film score composer|composer,
Q707005,male,Russia,statesperson|politician,
Q707231,male,France,exegete|university teacher|theologian|Catholic priest|priest,
Q707626,male,United States,military officer|physicist|priest|astronaut,
Q707796,male,United Kingdom,science fiction writer|novelist|writer|screenwriter,
Q707954,male,Spain,Opus Dei priest|Latin Catholic priest|Catholic bishop|jurist|lawyer,
Q708073,male,United States|Socialist Federal Republic of Yugoslavia,professional wrestler,
Q708241,male,United States,university teacher|prosecutor|politician|lawyer|judge,
Q708472,male,United States,researcher|physicist,
Q708631,male,France,tapestry weaver|copper engraver|theatre designer|printmaker|etcher|ceramicist|graphic artist|painter|sculptor|illustrator,
Q699736,male,United States|Soviet Union,collagist|video artist|conceptual artist|installation artist|watercolorist|draftsperson|printmaker|designer|visual artist|painter|sculptor|artist|illustrator|photographer,
Q700338,male,Austria,association football player|association football coach,
Q700555,male,Russia|Soviet Union,film screenwriter|short story writer|prose writer|writer|screenwriter,
Q700600,male,Austria|Bosnia and Herzegovina,theatre critic|essayist|editing staff|university teacher|dramaturge|playwright|teacher|writer,
Q701358,male,Georgia|Soviet Union,linguist|Hittitologist|university teacher|politician,
Q702406,male,Germany,association football player|association football coach,
Q702741,male,France,draftsperson|caricaturist|comics artist|screenwriter,
Q703216,female,People's Republic of China|British Hong Kong,recording artist|dancer|film actor|voice actor|musician|singer-songwriter|singer|record producer|composer|actor,
Q703450,male,Poland|Israel,prose writer|children's writer|translator|writer|screenwriter,
Q708795,male,United States,peace activist|politician|lawyer,
Q708853,male,Canada|Argentina,epistemologist|sociologist|essayist|critic|philosopher|university teacher|translator|physicist|writer,
Q709041,male,United Kingdom,association football player|association football coach,
Q709114,male,Italy|France,association football player,
Q709377,male,People's Republic of China,association football player,
Q709578,male,Estonia|Soviet Union,high jumper|athletics competitor,
Q709734,male,São Tomé and Príncipe,politician,
Q709810,male,Canada,recording artist|jazz musician|film score composer|pianist,
Q710142,male,United Kingdom,autobiographer|television actor|film actor|film producer|stage actor|voice actor|writer|actor,
Q710296,male,Georgia,weightlifter|athlete,
Q710689,male,Luxembourg,association football player|association football coach,
Q710920,male,Russia|Soviet Union,human rights defender|university teacher|dissident|mathematician,
Q711066,male,United States,peace activist|university teacher|psychiatrist|historian|writer,
Q711142,male,Argentina,comics artist|writer,
Q711237,male,United States|British Raj|India,statistician|university teacher|economist|mathematician,
Q711314,male,United States,jazz musician|saxophonist|music arranger|songwriter|chapelmaster|composer,
Q711402,male,United States,athletics competitor|sprinter,
Q711420,male,United States|France,film screenwriter|film director|actor,
Q711531,male,Italy,Catholic bishop|Catholic priest,
Q712013,male,Hungary,classical pianist|piano teacher|university teacher|pianist,
Q683378,male,United States,illustrator|sculptor|architect|photographer|printmaker|draftsperson|conceptual artist|video artist|installation artist|painter,
Q685385,male,France|Morocco,association football player,
Q685709,male,United States,television actor|film actor|film producer|actor,
Q686284,male,Switzerland,association football player|association football coach,
Q687524,male,Slovakia|Czechoslovakia,association football player,
Q688336,male,Switzerland,film producer|film director|screenwriter,
Q688944,male,Austria,association football player|association football coach,
Q689235,male,Hungary,water polo player,
Q691209,male,Hungary,sports official|association football player|association football coach,
Q691471,male,Ukraine|Soviet Union|Second Polish Republic,literary critic|university teacher|journalist|translator|diplomat|politician|poet|screenwriter,
Q692973,male,Sweden,athletics competitor,
Q694726,male,Israel,visual artist|sculptor|painter|architect,
Q694971,male,Lithuania|Soviet Union,film actor|stage actor|actor,
Q695260,male,Germany,association football player,
Q695717,male,Austria,pianist|composer,
Q695770,male,Israel,university teacher|historian|writer,
Q696306,female,Italy,film actor|film producer|singer|screenwriter,
Q696952,male,Jordan,politician,
Q697159,male,Italy|Kingdom of Italy,Catholic priest|Catholic bishop,
Q698436,male,United States,video artist|conceptual artist|gallerist|essayist|printmaker|performance artist|visual artist|art critic|journalist|painter|exhibition curator|sculptor|architect|photographer,
Q699396,male,Austria,university teacher|jurist|politician,
Q699702,male,United States|Lithuania,film director|opinion journalist|artist|poet|screenwriter,
Q712039,male,Italy|Kingdom of Italy,university teacher|theologian|Catholic bishop|Catholic priest,
Q712053,male,Ireland,university teacher|theologian|Catholic priest|Catholic bishop,
Q712105,male,Kingdom of the Netherlands,diplomat|politician|lawyer,
Q712620,male,United States,juggler|researcher|university teacher|mathematician|computer scientist,
Q712690,male,Saudi Arabia,ambassador|entrepreneur|politician,
Q712882,male,Lebanon,critic|journalist|university teacher|editing staff|playwright|writer,
Q712989,male,Norway|United States,freestyle skier|alpine skier|businessperson,
Q713009,male,United Kingdom,snooker player,
Q713235,male,France,magistrate|political scientist|politician|judge,
Q713409,male,France,film director|director|screenwriter,
Q713647,male,Serbia|Socialist Federal Republic of Yugoslavia,linguist|translator|poet|writer,
Q713829,male,United States,rock musician|guitarist|bandleader|songwriter|musician|singer-songwriter|pianist|record producer|singer|conductor|composer,
Q714483,male,United States,explorer|naval officer|oceanographer,
Q714552,male,Russia,politician|engineer,
Q714774,male,France,politician,
Q715105,male,Uruguay,association football player,
Q715119,male,El Salvador,politician|military personnel,
Q715173,male,Australia,tennis player,
Q715326,male,Poland,fencer|lawyer,
Q715505,male,United States,science fiction writer|novelist|journalist|writer,
Q715511,male,United States,American football player,
Q715668,male,Spain,association football player,
Q6820954,male,South Korea,film actor|television actor|model|actor,
Q6835591,female,United States|Sierra Leone,autobiographer|ballet dancer,
Q6889310,male,Mali,minister|politician,
Q6893331,male,India,field hockey player,
Q6895686,female,Nigeria,activist|academic|writer,
Q7095172,female,Nigeria,gospel musician|social activist|journalist|human rights defender|songwriter|singer|politician|actor,
Q7145460,female,United States,ophthalmologist|inventor|researcher|physician,
Q67641,male,Germany,film screenwriter|film actor|director|film director|film producer|physician|actor|screenwriter,
Q67787,female,Germany|German Democratic Republic,sprinter|politician,
Q68604,male,Germany,historian of mathematics|information scientist|university teacher|mathematician|computer scientist|engineer,
Q68661,male,Germany|German Democratic Republic,sport cyclist,
Q68741,male,Germany,association football player,
Q69661,male,Germany|German Democratic Republic|German Reich,film actor|stage actor|actor,
Q69998,female,Germany|Nazi Germany|Weimar Republic|West Germany,athletics competitor,
Q70142,male,United States|Germany,academic musician|classical pianist|pianist|musician,
Q70305,female,Germany,film actor|dancer|singer|writer|actor,
Q70727,male,Germany|German Democratic Republic,film actor|television actor|director|film director|stage actor|actor|screenwriter,
Q70881,female,Germany,film actor|costume designer|singer|musician|screenwriter,
Q71001,male,Germany,inventor|entrepreneur,
Q71016,male,United States|Germany,university teacher|physicist,
Q672318,female,Hungary,swimmer|coach,
Q672616,male,Serbia|Serbia and Montenegro|Kingdom of Yugoslavia|Socialist Federal Republic of Yugoslavia,association football player|association football coach,
Q675887,male,Bulgaria,politician|lawyer|judge,
Q676255,male,Spain,musician|entrepreneur,
Q676356,male,Switzerland,mountaineer,
Q682757,male,Spain,university teacher|jurist|politician|lawyer,
Q683269,male,Czech Republic|Czechoslovakia,politician,
Q734264,male,Ireland|United Kingdom,game show host|narrator|autobiographer|radio personality|television presenter,cancer
Q734544,male,United States|Peru,tennis player,cancer
Q736223,female,United States,magistrate|lawyer|judge,cancer
Q733417,male,United Kingdom,television writer|film screenwriter|novelist|dramaturge|painter|playwright|writer|screenwriter,Parkinson's disease
Q728941,male,Bosnia and Herzegovina|Yugoslavia,boxer,Alzheimer's disease
Q728617,male,United States,film actor|television actor|film producer|actor,myocardial infarction
Q731390,male,France,sport cyclist|sporting director,myocardial infarction
Q734018,male,Egypt,novelist|journalist|translator|writer,myocardial infarction
Q736274,male,Democratic Republic of the Congo,recording artist|film actor|film score composer|songwriter|singer|composer|actor,myocardial infarction
Q736851,male,Italy,recording artist|jazz guitarist|singer-songwriter|singer|composer,myocardial infarction
Q738521,male,United Kingdom|United Kingdom of Great Britain and Ireland,television actor|film actor|stage actor|actor,myocardial infarction
Q761697,female,United States,film actor|television actor|stage actor|actor,myocardial infarction
Q7286234,male,India,film director|film producer|actor,myocardial infarction
Q729121,male,United Kingdom,science fiction writer|novelist|visual artist|painter|illustrator|poet|screenwriter|writer,pneumonia
Q731254,male,United States,bandleader|musician|singer-songwriter|conductor,pneumonia
Q732951,male,Nepal,,pneumonia
Q7288344,male,United States,podcaster|stand-up comedian|television actor|comedian,pneumonia|cardiac arrest
Q7620742,female,Bulgaria,actor,pneumonia
Q732671,male,United States,professional wrestler|television actor,diabetes
Q735999,male,United States,athletics competitor|pole vaulter,disease
Q739521,male,France,television actor|film actor|stage actor,disease
Q740036,non-binary,United Kingdom,video artist|performance artist|singer|poet|writer|actor,leukemia|chronic myelomonocytic leukemia
Q735458,male,Portugal|People's Republic of China,entrepreneur|politician,stroke
Q728169,male,Greece,opinion journalist|resistance fighter|journalist|politician|writer,heart failure
Q729021,male,France,association football player|association football coach,heart failure|respiratory failure
Q732513,male,Brazil,presenter|film director|novelist|journalist|television presenter|musician|writer|actor,heart failure|atrial fibrillation|kidney failure|aortic valve stenosis
Q740969,male,United States,philosopher|university teacher|writer,heart failure
Q7177,male,France,politician|lawyer,heart failure
Q730270,male,United States,film actor|television actor|actor,cardiac arrest
Q7492558,female,India,dancer|actor,cardiac arrest
Q738151,male,Croatia|Socialist Federal Republic of Yugoslavia,pianist|singer,lung cancer
Q736402,male,Italy,crime boss|criminal|mobster,colorectal cancer
Q7449,male,United States,computer security consultant|security hacker|computer scientist|hacker,pancreatic cancer
Q739866,male,United States,baseball player,cardiovascular disease
Q728645,male,France,sports executive|film actor|ship-owner|politician|entrepreneur|singer|minister|businessperson|actor,stomach cancer
Q739746,male,Sweden,ice hockey player|businessperson,amyotrophic lateral sclerosis
Q756377,male,United Kingdom,film actor|cabaret performer|television actor|stage actor|aircraft pilot|comedian|writer,amyotrophic lateral sclerosis
Q735036,male,Egypt,journalist|politician|writer,kidney failure
Q7336478,female,India,television actor|actor,kidney failure
Q7635072,female,India|British Raj|Dominion of India,children's writer|human rights defender|poet|writer,bronchopneumonia|COVID-19
Q739072,male,Japan,singer-songwriter|singer,laryngeal cancer
Q739524,male,Turkey|Ottoman Empire,academic|university teacher|historian,multiple organ dysfunction syndrome
Q734558,male,Argentina,journalist|association football player|association football coach|politician,cerebral hemorrhage
Q728029,male,United States,musician|pianist|record producer|poet|composer,COVID-19
Q729048,male,Brazil,essayist|debater|conspiracy theorist|lecturer|literary critic|journalist|astrologer,COVID-19
Q732062,male,Somalia,politician|businessperson,COVID-19
Q740411,male,Republic of the Congo,soldier|minister|politician,COVID-19
Q7614306,male,United States,computer scientist|engineer,COVID-19
Q73030804,male,statelessness|Iraq,military leader|condottiero,suicide bombing
Q7542,male,United States,film actor|film producer|dancer|film director|multi-instrumentalist|film score composer|guitarist|singer-songwriter|record producer|singer|composer|screenwriter|actor,fentanyl toxicity
Q721998,male,Argentina,association football coach|association football player,Alzheimer's disease
Q734221,male,Australia,film actor|television actor|voice actor|painter|drag queen|comedian|actor|screenwriter,surgical complications
Q759064,male,Norway,freestyle skier|alpine skier,lightning strike
Q7505949,female,India,actor,infectious disease
